temporada;fase;rodada;jogo;data;mandante;placar;visitante;observacao;fonte
1988;Primeira fase;1;1;1988-09-02;Bahia;1-1;Bangu;Penaltis: 6-5;https://www.rsssf.org/tablesb/braz88.html
1988;Primeira fase;1;2;1988-09-02;Vitoria;0-0;America-RJ;Penaltis: 5-3;https://www.rsssf.org/tablesb/braz88.html
1988;Primeira fase;1;3;1988-09-04;Santa Cruz;0-1;Sport;;https://www.rsssf.org/tablesb/braz88.html
1988;Primeira fase;1;4;1988-09-04;Goias;0-1;Guarani;;https://www.rsssf.org/tablesb/braz88.html
1988;Primeira fase;1;5;1988-09-04;Palmeiras;1-1;Santos;Penaltis: 4-3;https://www.rsssf.org/tablesb/braz88.html
1988;Primeira fase;1;6;1988-09-04;Cruzeiro;0-0;Atletico-MG;Penaltis: 4-5;https://www.rsssf.org/tablesb/braz88.html
1988;Primeira fase;1;7;1988-09-04;Botafogo-RJ;1-1;Fluminense;Penaltis: 4-5;https://www.rsssf.org/tablesb/braz88.html
1988;Primeira fase;1;8;1988-09-04;Vasco;1-0;Flamengo;;https://www.rsssf.org/tablesb/braz88.html
1988;Primeira fase;1;9;1988-09-04;Corinthians;0-1;Sao Paulo;;https://www.rsssf.org/tablesb/braz88.html
1988;Primeira fase;1;10;1988-09-04;Gremio;1-0;Internacional;;https://www.rsssf.org/tablesb/braz88.html
1988;Primeira fase;1;11;1988-09-04;Coritiba;1-0;Athletico-PR;;https://www.rsssf.org/tablesb/braz88.html
1988;Primeira fase;1;12;1988-09-04;Criciuma;1-1;Portuguesa;Penaltis: 4-5;https://www.rsssf.org/tablesb/braz88.html
1988;Primeira fase;1;13;1988-11-12;Fluminense;0-2;Athletico-PR;;https://www.rsssf.org/tablesb/braz88.html
1988;Primeira fase;1;14;1988-11-12;Santos;0-0;Guarani;Penaltis: 3-2;https://www.rsssf.org/tablesb/braz88.html
1988;Primeira fase;1;15;1988-11-12;Santa Cruz;1-1;Vasco;Penaltis: 3-2;https://www.rsssf.org/tablesb/braz88.html
1988;Primeira fase;1;16;1988-11-13;Palmeiras;1-1;Sao Paulo;Penaltis: 5-6;https://www.rsssf.org/tablesb/braz88.html
