temporada;fase;rodada;jogo;data;mandante;placar;visitante;observacao;fonte
1998;Primeira fase;1;1;1998-07-25;Vasco;0-1;Corinthians;;https://www.rsssf.org/tablesb/braz98.html
1998;Primeira fase;1;2;1998-07-25;Internacional;1-0;Gremio;;https://www.rsssf.org/tablesb/braz98.html
1998;Primeira fase;1;3;1998-07-25;Portuguesa;2-1;America-MG;;https://www.rsssf.org/tablesb/braz98.html
1998;Primeira fase;1;4;1998-07-25;Guarani;2-0;Ponte Preta;;https://www.rsssf.org/tablesb/braz98.html
1998;Primeira fase;1;5;1998-07-25;Juventude;3-0;Parana;;https://www.rsssf.org/tablesb/braz98.html
1998;Primeira fase;1;6;1998-07-25;Athletico-PR;2-2;Coritiba;;https://www.rsssf.org/tablesb/braz98.html
1998;Primeira fase;1;7;1998-07-25;Santos;2-0;Bragantino;;https://www.rsssf.org/tablesb/braz98.html
1998;Primeira fase;1;8;1998-07-25;Flamengo;1-1;Botafogo-RJ;;https://www.rsssf.org/tablesb/braz98.html
1998;Primeira fase;1;9;1998-07-25;Palmeiras;2-1;Sao Paulo;;https://www.rsssf.org/tablesb/braz98.html
1998;Primeira fase;1;10;1998-07-25;Atletico-MG;1-1;Cruzeiro;;https://www.rsssf.org/tablesb/braz98.html
1998;Primeira fase;1;11;1998-07-25;Vitoria;1-2;Goias;;https://www.rsssf.org/tablesb/braz98.html
1998;Primeira fase;1;12;1998-07-25;America-RN;0-4;Sport;;https://www.rsssf.org/tablesb/braz98.html
1998;Primeira fase;1;13;1998-07-25;Santos;1-1;Athletico-PR;;https://www.rsssf.org/tablesb/braz98.html
1998;Primeira fase;1;14;1998-07-25;Atletico-MG;1-1;Guarani;;https://www.rsssf.org/tablesb/braz98.html
1998;Primeira fase;2;15;1998-08-01;Coritiba;1-3;Flamengo;;https://www.rsssf.org/tablesb/braz98.html
1998;Primeira fase;2;16;1998-08-01;Goias;1-1;Palmeiras;;https://www.rsssf.org/tablesb/braz98.html
1998;Primeira fase;2;17;1998-08-01;Ponte Preta;0-0;Internacional;;https://www.rsssf.org/tablesb/braz98.html
1998;Primeira fase;2;18;1998-08-01;Corinthians;4-0;Juventude;;https://www.rsssf.org/tablesb/braz98.html
1998;Primeira fase;2;19;1998-08-01;Sao Paulo;2-1;Guarani;;https://www.rsssf.org/tablesb/braz98.html
1998;Primeira fase;2;20;1998-08-01;Parana;0-1;Portuguesa;;https://www.rsssf.org/tablesb/braz98.html
1998;Primeira fase;2;21;1998-08-01;Bragantino;0-0;Vasco;;https://www.rsssf.org/tablesb/braz98.html
1998;Primeira fase;2;22;1998-08-01;Gremio;2-3;Atletico-MG;;https://www.rsssf.org/tablesb/braz98.html
1998;Primeira fase;2;23;1998-08-01;Cruzeiro;1-2;Santos;;https://www.rsssf.org/tablesb/braz98.html
1998;Primeira fase;2;24;1998-08-01;Botafogo-RJ;1-2;Vitoria;;https://www.rsssf.org/tablesb/braz98.html
1998;Primeira fase;2;25;1998-08-01;Sport;2-0;Athletico-PR;;https://www.rsssf.org/tablesb/braz98.html
1998;Primeira fase;2;26;1998-08-01;America-MG;2-2;America-RN;;https://www.rsssf.org/tablesb/braz98.html
1998;Primeira fase;3;27;1998-08-05;Athletico-PR;0-1;Palmeiras;;https://www.rsssf.org/tablesb/braz98.html
1998;Primeira fase;3;28;1998-08-05;Corinthians;2-1;Gremio;;https://www.rsssf.org/tablesb/braz98.html
1998;Primeira fase;3;29;1998-08-05;Cruzeiro;4-2;Ponte Preta;;https://www.rsssf.org/tablesb/braz98.html
1998;Primeira fase;3;30;1998-08-05;Guarani;2-3;Botafogo-RJ;;https://www.rsssf.org/tablesb/braz98.html
1998;Primeira fase;3;31;1998-08-05;Internacional;0-3;Sao Paulo;;https://www.rsssf.org/tablesb/braz98.html
1998;Primeira fase;3;32;1998-08-05;Parana;3-2;America-RN;;https://www.rsssf.org/tablesb/braz98.html
1998;Primeira fase;3;33;1998-08-05;Portuguesa;1-1;Coritiba;;https://www.rsssf.org/tablesb/braz98.html
1998;Primeira fase;3;34;1998-08-05;Sport;2-1;Vitoria;;https://www.rsssf.org/tablesb/braz98.html
1998;Primeira fase;3;35;1998-08-05;Vasco;5-1;America-MG;;https://www.rsssf.org/tablesb/braz98.html
1998;Primeira fase;4;36;1998-08-08;Atletico-MG;1-5;Corinthians;;https://www.rsssf.org/tablesb/braz98.html
1998;Primeira fase;4;37;1998-08-08;Juventude;0-0;Botafogo-RJ;;https://www.rsssf.org/tablesb/braz98.html
1998;Primeira fase;4;38;1998-08-08;Coritiba;2-2;Ponte Preta;;https://www.rsssf.org/tablesb/braz98.html
1998;Primeira fase;4;39;1998-08-08;Flamengo;0-1;Bragantino;;https://www.rsssf.org/tablesb/braz98.html
