temporada,partida_id,rodada,data,mandante,visitante,placar,tecnico_mandante,tecnico_visitante,formacao_mandante,formacao_visitante,source_match_id,source_url,tm_counts,tm_labels
2003,75,7,2003-05-03,Cruzeiro,Athletico-PR,5-2,Vanderlei Luxemburgo,Vadão,,,,,,
2003,460,39,2003-10-25,Cruzeiro,Figueirense,1-0,Vanderlei Luxemburgo,Dorival Júnior,,,3478128.0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3478128,4-4-2=10 / 4-3-2=9,"D:Cris , Thiago Gosling , Leandro , Maurinho | M:Felipe Melo , Claudio Maldonado , Alex , Marcinho | A:Víctor Aristizábal , Mota || D:Márcio Goiano , Cleber , Triguinho , Paulo Sérgio | M:Carlos Alberto , William Fabro , Luciano Lopes | A:Sandro Gaucho , Fernandinho"
2004,595,4,2004-05-02,Fluminense,Vasco,1-0,Ricardo Gomes,Geninho,,,3477140.0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3477140,4-3-3=10 / 4-4-1=9,"D:Odvan , Rodolfo , Júnior César , Léo Moura | M:Juca , Maicon , Ramon Menezes | A:Diego Souza , Marcelo Macedo , Romário || D:Henrique , Serjão , Wescley , Marcos Paulo | M:Coutinho , Rodrigo Souto , Ygor , Cadu | A:Valdir Bigode"
2004,903,30,2004-09-11,Guarani,Juventude,3-1,Agnaldo Liz,Ivo Wortmann,,,,,,
2004,1102,46,2004-12-19,Juventude,Paysandu,1-2,Ivo Wortmann,Vágner Benazzi,,,3477649.0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3477649,4-4-1=9 / 5-3-2=10,"D:Ageu , Daniel , Naldo , Geison | M:Camazzola , Sandrinho , Zé Rodolpho , Ederson | A:Clodoaldo || D:Carabina , Flávio Tanajura , Luis Fernando , Maurinho , Alex Pinho | M:Lecheva , Hernâni , Alemão | A:Zé Augusto , Borges"
2005,1110,1,2005-04-24,Fortaleza,Coritiba,0-1,Vágner Benazzi,Antônio Lopes,,,3476407.0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3476407,4-4-1=9 / 4-4-2=10,"D:Alan , Ronaldo Angelim , Giba , Thiago Matos | M:Dude , Erandir , Igor Cearense , Mazinho Lima | A:Marcos Denner || D:Miranda , Rubens Júnior , Ricardinho , Jucemar | M:Márcio Egídio , Reginaldo Nascimento , Capixaba , Jackson | A:André Nunes , Marciano"
2005,1114,1,2005-04-24,Brasiliense,Vasco,0-1,Valdir Espinosa,Dário Lourenço,,,,,,
2005,1270,16,2005-07-30,Cruzeiro,Fortaleza,3-0,Paulo César Gusmão,Hélio dos Anjos,,,3476567.0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3476567,4-5-1=10 / 4-4-1=9,"D:Marcelo Batatais , Moisés Moura , Patrick , Maurinho | M:Fábio Santos , Claudio Maldonado , Adriano Gabirú , Kelly Guimarães , Wagner | A:Fred || D:Alan , Ronaldo Angelim , Marquinhos Caruaru , Amaral | M:Marcelo Lopes , Fumagalli , Mazinho Lima , Paulo Isidoro | A:Rinaldo"
2005,1326,21,2005-08-20,Sao Caetano,Cruzeiro,0-1,Levir Culpi,Paulo César Gusmão,,,3476623.0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3476623,3-4-2=9 / 4-5-1=10,"D:Douglas , Triguinho , Alessandro | M:Claudecir , Júlio César , Pingo , Lúcio Flávio | A:Dimba , Edílson || D:Irineu , Moisés Moura , Leandro , Maurinho | M:Diogo Mucuri , Claudio Maldonado , Marabá , Adriano Gabirú , Wagner | A:Fred"
2005,1335,21,2005-10-28,Internacional,Coritiba,3-2,Muricy Ramalho,Márcio Araújo,,,3476626.0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3476626,2-5-3=10 / 3-4-2=9,"D:Ediglê , Élder Granja | M:Edinho , Perdigão , Diego Gavilán , Tinga , Ricardinho | A:Jorge Wagner , Fernandão , Wason Rentería || D:Allan Aal , Vágner , Ricardinho | M:Daniel Braga , Batata , Caio , Jackson | A:Maia , Renaldo"
2005,1359,24,2005-09-07,Fortaleza,Sao Caetano,5-2,Hélio dos Anjos,Levir Culpi,,,3476657.0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3476657,4-5-1=10 / 3-4-2=9,"D:Márcio Goiano , Ronaldo Angelim , Marquinhos Caruaru , Chiquinho | M:Dude , Erandir , Fumagalli , Igor Cearense , Lúcio Bala | A:Rinaldo || D:Thiago Martinelli , Triguinho , Raulen | M:Paulo Miranda , Pingo , Zé Luis , Lúcio Flávio | A:Dimba , Edílson"
2005,1398,27,2005-09-22,Juventude,Coritiba,0-0,Sebastião Lazaroni,Cuca,,,3476695.0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3476695,3-5-2=10 / 4-3-2=9,"D:Chicão , Índio Alagoano , Lucas | M:Leandro Moreno , Lauro , Ederson Tormena , Caíco , Roger Guerreiro | A:Marcelinho , Josiel || D:Allan Aal , Vágner , Rubens Júnior , James Dens | M:Reginaldo Nascimento , Capixaba , Caio | A:Maia , Renaldo"
2005,1408,28,2005-09-25,Coritiba,Vasco,2-0,Cuca,Renato Gaúcho,,,3476705.0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3476705,4-3-2=9 / 4-5-1=10,"D:Allan Aal , Vágner , Rubens Júnior , James Dens | M:Reginaldo Nascimento , Caio , Jackson | A:Maia , Renaldo || D:Fábio Braz , Adán Vergara , Diego Corrêa , Wagner Diniz | M:Abedi , Amaral , Osmar , Ygor , Morais | A:Anderson Costa"
