source,source_event_id,source_url,partida_id,temporada_id,rodada,data,clube,jogador,posicao_espn,posicao,tipo,minuto,num_camisa
ESPN,732591,https://www.espn.com/soccer/match/_/gameId/732591,8790,2025,1,2025-03-29,Mirassol,Jemmes,CD-R,Zagueiro,Amarelo,11,3
ESPN,732591,https://www.espn.com/soccer/match/_/gameId/732591,8790,2025,1,2025-03-29,Cruzeiro,Matheus Henrique,CM-L,Meio-campo,Amarelo,30,8
ESPN,732591,https://www.espn.com/soccer/match/_/gameId/732591,8790,2025,1,2025-03-29,Cruzeiro,Walace,CM-R,Meio-campo,Amarelo,33,5
ESPN,732591,https://www.espn.com/soccer/match/_/gameId/732591,8790,2025,1,2025-03-29,Cruzeiro,Lucas Romero,SUB,,Amarelo,49,29
ESPN,732591,https://www.espn.com/soccer/match/_/gameId/732591,8790,2025,1,2025-03-29,Mirassol,Reinaldo,LB,Zagueiro,Amarelo,63,6
ESPN,732591,https://www.espn.com/soccer/match/_/gameId/732591,8790,2025,1,2025-03-29,Mirassol,Edson Carioca,SUB,,Amarelo,85,95
ESPN,732591,https://www.espn.com/soccer/match/_/gameId/732591,8790,2025,1,2025-03-29,Mirassol,Nao informado (Mirassol),,,Amarelo,88,
ESPN,732591,https://www.espn.com/soccer/match/_/gameId/732591,8790,2025,1,2025-03-29,Cruzeiro,Cássio,G,Goleiro,Amarelo,94,1
ESPN,732593,https://www.espn.com/soccer/match/_/gameId/732593,8787,2025,1,2025-03-29,Fluminense,Nao informado (Fluminense),,,Amarelo,68,
ESPN,732593,https://www.espn.com/soccer/match/_/gameId/732593,8787,2025,1,2025-03-29,Fortaleza,Moisés,SUB,,Amarelo,95,21
ESPN,732599,https://www.espn.com/soccer/match/_/gameId/732599,8788,2025,1,2025-03-29,Gremio,Wagner Leonardo,CD-L,Zagueiro,Amarelo,39,3
ESPN,732599,https://www.espn.com/soccer/match/_/gameId/732599,8788,2025,1,2025-03-29,Gremio,Jemerson,CD-R,Zagueiro,Amarelo,49,21
ESPN,732599,https://www.espn.com/soccer/match/_/gameId/732599,8788,2025,1,2025-03-29,Gremio,Cristian Pavón,SUB,,Amarelo,95,7
ESPN,732599,https://www.espn.com/soccer/match/_/gameId/732599,8788,2025,1,2025-03-29,Gremio,Cristian Olivera,AM-R,Meio-campo,Amarelo,96,99
ESPN,732595,https://www.espn.com/soccer/match/_/gameId/732595,8786,2025,1,2025-03-29,Vitoria,Ronald,RM,Meio-campo,Amarelo,26,8
ESPN,732595,https://www.espn.com/soccer/match/_/gameId/732595,8786,2025,1,2025-03-29,Juventude,Jádson,CM-L,Meio-campo,Amarelo,37,16
ESPN,732595,https://www.espn.com/soccer/match/_/gameId/732595,8786,2025,1,2025-03-29,Juventude,Ênio,LM,Meio-campo,Amarelo,37,97
