temporada,source_event_id,erro
2006,196178,aviso: evento sem clube mapeado: None
2006,196178,aviso: evento sem clube mapeado: None
2006,196178,aviso: evento sem clube mapeado: None
2006,196178,aviso: evento sem clube mapeado: None
2006,196188,aviso: evento sem clube mapeado: None
2006,196188,aviso: evento sem clube mapeado: None
2006,196296,aviso: evento sem clube mapeado: None
2006,196296,aviso: evento sem clube mapeado: None
2006,196296,aviso: evento sem clube mapeado: None
2006,196296,aviso: evento sem clube mapeado: None
2006,196302,aviso: evento sem clube mapeado: None
2006,196352,aviso: evento sem clube mapeado: None
2006,196352,aviso: evento sem clube mapeado: None
2006,196406,aviso: evento sem clube mapeado: None
2006,196422,aviso: evento sem clube mapeado: None
2007,216873,aviso: evento sem clube mapeado: None
2007,216925,aviso: evento sem clube mapeado: 819
2007,216941,aviso: evento sem clube mapeado: 2674
2007,217003,aviso: evento sem clube mapeado: None
2007,217026,aviso: evento sem clube mapeado: None
2007,217026,aviso: evento sem clube mapeado: None
2007,217034,aviso: evento sem clube mapeado: None
2007,217061,aviso: evento sem clube mapeado: None
2007,217083,aviso: evento sem clube mapeado: None
2007,217104,aviso: evento sem clube mapeado: None
2007,217116,aviso: evento sem clube mapeado: None
2007,217127,aviso: evento sem clube mapeado: None
2007,217138,aviso: evento sem clube mapeado: None
2007,217143,aviso: evento sem clube mapeado: None
2007,217145,aviso: evento sem clube mapeado: None
2007,217171,aviso: evento sem clube mapeado: None
2007,217188,aviso: evento sem clube mapeado: None
2007,217198,aviso: evento sem clube mapeado: None
2008,240796,aviso: evento sem clube mapeado: None
2008,240804,aviso: evento sem clube mapeado: None
2008,240827,aviso: evento sem clube mapeado: None
2008,240830,aviso: evento sem clube mapeado: None
2008,240839,aviso: evento sem clube mapeado: None
2008,240849,aviso: evento sem clube mapeado: None
2008,240851,aviso: evento sem clube mapeado: None
2008,240854,aviso: evento sem clube mapeado: None
2008,240883,aviso: evento sem clube mapeado: None
2008,240893,aviso: evento sem clube mapeado: None
2008,240910,aviso: evento sem clube mapeado: None
2008,240926,aviso: evento sem clube mapeado: None
2008,240944,aviso: evento sem clube mapeado: None
2008,240945,aviso: evento sem clube mapeado: None
2008,240958,aviso: evento sem clube mapeado: None
2008,240956,aviso: evento sem clube mapeado: None
2008,240962,aviso: evento sem clube mapeado: None
2008,240967,aviso: evento sem clube mapeado: None
2008,240989,aviso: evento sem clube mapeado: None
2008,241012,aviso: evento sem clube mapeado: None
2008,241082,aviso: evento sem clube mapeado: None
2008,241097,aviso: evento sem clube mapeado: None
2008,241097,aviso: evento sem clube mapeado: None
2008,241097,aviso: evento sem clube mapeado: None
2008,241097,aviso: evento sem clube mapeado: None
2008,241097,aviso: evento sem clube mapeado: None
2008,241104,aviso: evento sem clube mapeado: None
2008,241150,aviso: evento sem clube mapeado: None
2009,265879,aviso: evento sem clube mapeado: None
2009,265879,aviso: evento sem clube mapeado: None
2009,265918,aviso: evento sem clube mapeado: None
2009,265914,aviso: evento sem clube mapeado: None
2009,266049,aviso: evento sem clube mapeado: None
2009,266061,aviso: evento sem clube mapeado: None
2009,266104,aviso: evento sem clube mapeado: None
2010,291885,aviso: evento sem clube mapeado: None
2013,365533,aviso: evento sem clube mapeado: None
2013,365565,aviso: evento sem clube mapeado: None
2013,365602,aviso: evento sem clube mapeado: None
2013,365529,aviso: evento sem clube mapeado: None
2013,365529,aviso: evento sem clube mapeado: None
2013,365529,aviso: evento sem clube mapeado: None
2013,365529,aviso: evento sem clube mapeado: None
2013,365529,aviso: evento sem clube mapeado: None
2013,365529,aviso: evento sem clube mapeado: None
2013,365529,aviso: evento sem clube mapeado: None
2013,365529,aviso: evento sem clube mapeado: None
2016,,aviso: quantidade inesperada de jogos ESPN: 380 de 379
