status,acao,partida_id,temporada,rodada,data_banco,data_ogol,mandante,visitante,placar_banco,placar_ogol,gols_banco,gols_ogol,match_method,source_id,source_url,detalhe
ok,aplicar_gols,239,2003,20,2003-07-20,2003-07-20,Cruzeiro,Parana,5-1,5-1,5,6,exact,502433,https://www.ogol.com.br/jogo/2003-07-20-cruzeiro-parana/502433,Cruzeiro - Cris 17'; Cruzeiro - Víctor Aristizábal 29'; Cruzeiro - Víctor Aristizábal 54'; Cruzeiro - Alex 72'; Cruzeiro - Leandro 85'; Parana - Fernando Miguel 57'
ok,aplicar_gols,588,2004,3,2004-06-24,2004-04-29,Sao Caetano,Juventude,1-0,1-0,0,1,same_score,81651,https://www.ogol.com.br/jogo/2004-04-29-sao-caetano-juventude/81651,Sao Caetano - Fabrício Carvalho 11'
conflito,revisar,963,2004,35,2004-10-06,2004-10-07,Criciuma,Internacional,1-0,2-1,0,3,same_teams,82031,https://www.ogol.com.br/jogo/2004-10-07-criciuma-internacional/82031,Criciuma - Vágner Carioca 78'; Criciuma - Douglas 90'; Internacional - Fernandão 7'
ok,aplicar_gols,1008,2004,38,2004-11-03,2004-10-27,Sao Paulo,Sao Caetano,4-2,4-2,0,6,same_score,82075,https://www.ogol.com.br/jogo/2004-10-27-sao-paulo-sao-caetano/82075,Sao Paulo - Danilo 61'; Sao Paulo - Júnior 62'; Sao Paulo - Grafite 66'; Sao Paulo - Rodrigo 78'; Sao Caetano - Marcinho 63'; Sao Caetano - Ânderson Lima 74'
conflito,revisar,1114,2005,1,2005-04-24,2005-04-24,Brasiliense,Vasco,2-2,0-1,0,0,exact,179646,https://www.ogol.com.br/jogo/2005-04-24-brasiliense-vasco/179646,sem gols extraidos
ok,aplicar_gols,1345,2005,22,2005-08-25,2005-08-26,Figueirense,Atletico-MG,0-1,0-1,0,1,same_score,179869,https://www.ogol.com.br/jogo/2005-08-26-figueirense-atletico-mineiro/179869,Atletico-MG - Catanha 17'
ok,aplicar_gols,1390,2005,26,2005-09-18,2005-09-18,Atletico-MG,Santos,3-0,3-0,2,3,exact,179919,https://www.ogol.com.br/jogo/2005-09-18-atletico-mineiro-santos/179919,Atletico-MG - Catanha 29'; Atletico-MG - Ueslei 43'; Atletico-MG - Rubens Cardoso 67'
ok,aplicar_gols,1413,2005,29,2005-10-01,2005-10-01,Parana,Coritiba,3-2,3-2,4,5,exact,179946,https://www.ogol.com.br/jogo/2005-10-01-parana-coritiba/179946,Parana - André Dias 2'; Parana - Mário César 55'; Parana - Borges 62'; Coritiba - Anderson 38'; Coritiba - Caio 47'
ok,aplicar_gols,1610,2006,5,2006-05-14,2006-05-14,Santa Cruz,Athletico-PR,1-2,1-2,2,3,exact,218742,https://www.ogol.com.br/jogo/2006-05-14-santa-cruz-atletico-paranaense/218742,Santa Cruz - Carlinhos Bala 41'; Athletico-PR - Pedro Oldoni 8'; Athletico-PR - Erandir 82'
ok,aplicar_gols,1773,2006,21,2006-08-30,2006-08-31,Athletico-PR,Santos,2-1,2-1,1,3,same_score,218902,https://www.ogol.com.br/jogo/2006-08-31-atletico-paranaense-santos/218902,Athletico-PR - Marcos Aurélio 50'; Athletico-PR - William Fabro 85'; Santos - Leandro Rodrigues 90'
