status,partida_id,temporada,rodada,data_banco,data_ogol,mandante,visitante,placar,match_method,source_url,tecnico_mandante,tecnico_visitante
ok,564,2004,1,2004-04-22,2004-04-23,Sao Paulo,Athletico-PR,1-0,same_score,https://www.ogol.com.br/jogo/2004-04-23-sao-paulo-atletico-paranaense/81634,Cuca,Julio de Toledo Piza
ok,573,2004,2,2004-04-25,2004-04-25,Athletico-PR,Figueirense,0-3,exact,https://www.ogol.com.br/jogo/2004-04-25-atletico-paranaense-figueirense/81643,Julio de Toledo Piza,Dorival Júnior
ok,587,2004,3,2004-04-29,2004-04-30,Palmeiras,Vitoria,2-2,same_score,https://www.ogol.com.br/jogo/2004-04-30-palmeiras-vitoria/81658,Jair Picerni,Agnaldo Liz
ok,614,2004,6,2004-05-15,2004-05-15,Athletico-PR,Santos,1-0,exact,https://www.ogol.com.br/jogo/2004-05-15-atletico-paranaense-santos/81686,Levir Culpi,Vanderlei Luxemburgo
ok,624,2004,6,2004-05-16,2004-05-16,Corinthians,Guarani,1-0,exact,https://www.ogol.com.br/jogo/2004-05-16-corinthians-guarani/81684,Oswaldo de Oliveira,Lino Fachini Junior
ok,638,2004,8,2004-05-29,2004-05-29,Ponte Preta,Juventude,0-1,exact,https://www.ogol.com.br/jogo/2004-05-29-ponte-preta-juventude/81708,Ronaldão,Ivo Wortmann
ok,647,2004,8,2004-05-30,2004-05-30,Athletico-PR,Cruzeiro,3-1,exact,https://www.ogol.com.br/jogo/2004-05-30-atletico-paranaense-cruzeiro/81718,Levir Culpi,Emerson Leão
ok,660,2004,9,2004-06-13,2004-06-13,Vitoria,Santos,1-2,exact,https://www.ogol.com.br/jogo/2004-06-13-vitoria-santos/81730,Agnaldo Liz,Vanderlei Luxemburgo
ok,662,2004,10,2004-06-19,2004-06-19,Athletico-PR,Vitoria,1-3,exact,https://www.ogol.com.br/jogo/2004-06-19-atletico-paranaense-vitoria/81732,Levir Culpi,Agnaldo Liz
ok,676,2004,11,2004-06-26,2004-06-26,Santos,Guarani,2-1,exact,https://www.ogol.com.br/jogo/2004-06-26-santos-guarani/81754,Vanderlei Luxemburgo,Zetti
ok,684,2004,11,2004-06-27,2004-06-27,Atletico-MG,Athletico-PR,0-1,exact,https://www.ogol.com.br/jogo/2004-06-27-atletico-mineiro-atletico-paranaense/81746,Paulo Bonamigo,Levir Culpi
ok,687,2004,12,2004-07-03,2004-07-03,Athletico-PR,Juventude,4-1,exact,https://www.ogol.com.br/jogo/2004-07-03-atletico-paranaense-juventude/81758,Levir Culpi,Ivo Wortmann
ok,707,2004,13,2004-07-07,2004-07-08,Ponte Preta,Santos,0-4,same_score,https://www.ogol.com.br/jogo/2004-07-08-ponte-preta-santos/81777,Marco Aurélio,Vanderlei Luxemburgo
ok,764,2004,18,2004-07-24,2004-07-24,Cruzeiro,Sao Caetano,0-1,exact,https://www.ogol.com.br/jogo/2004-07-24-cruzeiro-sao-caetano/81834,Emerson Leão,Candinho Farias
