source,source_match_id,source_url,partida_id,temporada_id,rodada,data,mandante,visitante,gols_mandante,gols_visitante,match_method,formacao_mandante,formacao_visitante,tecnico_mandante,tecnico_visitante
Transfermarkt,909372,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/909372,2457,2008,13,2008-07-19,Ipatinga,Portuguesa,4,1,exact,4-4-2,4-4-2,Ricardo Drubscky,Vágner Benazzi
Transfermarkt,909370,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/909370,2458,2008,13,2008-07-19,Fluminense,Figueirense,1,0,exact,4-4-2,4-4-2,Renato Gaúcho,Paulo César Gusmão
Transfermarkt,909371,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/909371,2459,2008,13,2008-07-19,Gremio,Cruzeiro,1,0,exact,4-4-2,4-4-2,Celso Roth,Adilson Batista
Transfermarkt,909375,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/909375,2460,2008,13,2008-07-20,Athletico-PR,Vasco,3,1,exact,4-4-2,4-4-2,Roberto Fernandes,Antônio Lopes
Transfermarkt,909373,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/909373,2461,2008,13,2008-07-20,Goias,Palmeiras,3,2,exact,4-4-2,4-4-2,Vadão,Vanderlei Luxemburgo
Transfermarkt,909374,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/909374,2462,2008,13,2008-07-20,Santos,Sport,1,0,exact,3-5-2,3-5-2,Cuca,Nelsinho Baptista
Transfermarkt,909376,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/909376,2463,2008,13,2008-07-20,Nautico,Internacional,1,1,exact,3-5-2,4-3-3 defensivo,Leandro Machado,Tite
Transfermarkt,909377,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/909377,2464,2008,13,2008-07-20,Flamengo,Vitoria,0,1,exact,4-4-2,4-3-3,Caio Júnior,Vagner Mancini
Transfermarkt,909379,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/909379,2465,2008,13,2008-07-20,Sao Paulo,Botafogo-RJ,2,1,exact,4-4-2,3-5-2,Muricy Ramalho,Ney Franco
Transfermarkt,909378,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/909378,2466,2008,13,2008-07-20,Atletico-MG,Coritiba,3,2,exact,4-4-2,4-4-2,Alexandre Gallo,Dorival Júnior
