partida_id,source,source_match_id,source_url,temporada_id,rodada,data,mandante,visitante,gols_mandante,gols_visitante,match_method,formacao_mandante,formacao_visitante,tecnico_mandante,tecnico_visitante
4497,Transfermarkt,2344188,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344188,2013,28,2013-10-12,Fluminense,Gremio,1,1,exact,3-5-2,5-3-2,Vanderlei Luxemburgo,Renato Gaúcho
4498,Transfermarkt,2344202,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344202,2013,28,2013-10-12,Vitoria,Coritiba,2,1,exact,5-3-2,3-5-2,Ney Franco,Péricles Chamusca
4499,Transfermarkt,2344189,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344189,2013,28,2013-10-12,Santos,Ponte Preta,2,1,exact,4-3-1-2,4-3-2-1,Claudinei Oliveira,Jorginho
4500,Transfermarkt,2344247,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344247,2013,28,2013-10-13,Atletico-MG,Cruzeiro,1,0,exact,4-3-3 defensivo,4-4-2 duplo 6,Cuca,Marcelo Oliveira
4501,Transfermarkt,2344203,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344203,2013,28,2013-10-13,Criciuma,Vasco,3,2,exact,4-4-2 losango,4-5-1,Argel Fuchs,Dorival Júnior
4502,Transfermarkt,2344219,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344219,2013,28,2013-10-13,Internacional,Nautico,4,1,exact,4-4-2 duplo 6,4-3-1-2,Clemer,Marcelo Martelotte
4503,Transfermarkt,2344227,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344227,2013,28,2013-10-13,Sao Paulo,Corinthians,0,0,exact,5-3-2,4-4-2 duplo 6,Muricy Ramalho,Tite
4504,Transfermarkt,2344220,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344220,2013,28,2013-10-13,Athletico-PR,Portuguesa,1,0,exact,4-4-2 duplo 6,4-4-2 duplo 6,Vagner Mancini,Guto Ferreira
4505,Transfermarkt,2344209,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344209,2013,28,2013-10-13,Botafogo-RJ,Flamengo,2,1,exact,4-2-3-1,4-2-3-1,Oswaldo de Oliveira,Jayme de Almeida Filho
4506,Transfermarkt,2344235,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344235,2013,28,2013-10-13,Goias,Bahia,3,1,exact,4-2-3-1,4-3-3 ofensivo,Enderson Moreira,Cristóvão Borges
4507,Transfermarkt,2344204,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344204,2013,29,2013-10-16,Cruzeiro,Fluminense,1,0,exact,4-2-3-1,4-4-2 duplo 6,Marcelo Oliveira,Vanderlei Luxemburgo
4508,Transfermarkt,2344197,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344197,2013,29,2013-10-16,Santos,Internacional,0,0,exact,4-3-3 defensivo,4-5-1,Claudinei Oliveira,Clemer
4509,Transfermarkt,2344236,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344236,2013,29,2013-10-16,Criciuma,Portuguesa,1,3,exact,4-1-3-2,4-4-2 duplo 6,Argel Fuchs,Guto Ferreira
4510,Transfermarkt,2344210,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344210,2013,29,2013-10-16,Ponte Preta,Coritiba,1,0,exact,4-3-3 defensivo,4-4-2 duplo 6,Jorginho,Péricles Chamusca
4511,Transfermarkt,2344181,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344181,2013,29,2013-10-16,Sao Paulo,Nautico,3,0,exact,5-3-2,4-3-2-1,Muricy Ramalho,Marcelo Martelotte
4512,Transfermarkt,2344167,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344167,2013,29,2013-10-16,Flamengo,Bahia,2,1,exact,4-4-2 duplo 6,4-3-1-2,Jayme de Almeida Filho,Cristóvão Borges
4513,Transfermarkt,2344196,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344196,2013,29,2013-10-16,Athletico-PR,Atletico-MG,1,0,exact,4-4-2 duplo 6,4-3-3 defensivo,Vagner Mancini,Cuca
4514,Transfermarkt,2344195,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344195,2013,29,2013-10-16,Gremio,Corinthians,1,0,exact,5-3-2,4-4-2 duplo 6,Renato Gaúcho,Tite
4515,Transfermarkt,2344179,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344179,2013,29,2013-10-17,Vasco,Goias,0,2,exact,4-4-2 duplo 6,4-2-3-1,Dorival Júnior,Enderson Moreira
4516,Transfermarkt,2344171,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344171,2013,29,2013-10-17,Vitoria,Botafogo-RJ,1,0,exact,4-4-2,4-5-1,Ney Franco,Oswaldo de Oliveira
4517,Transfermarkt,2344221,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344221,2013,30,2013-10-19,Fluminense,Ponte Preta,1,1,exact,4-3-1-2,4-3-1-2,Vanderlei Luxemburgo,Jorginho
4518,Transfermarkt,2344154,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344154,2013,30,2013-10-19,Nautico,Santos,1,5,exact,4-4-2 duplo 6,4-4-2 duplo 6,Marcelo Martelotte,Claudinei Oliveira
4519,Transfermarkt,2344182,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344182,2013,30,2013-10-19,Corinthians,Criciuma,1,0,exact,4-4-2 duplo 6,4-4-2 duplo 6,Tite,Argel Fuchs
4520,Transfermarkt,2344162,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344162,2013,30,2013-10-20,Atletico-MG,Flamengo,1,0,exact,4-3-3 defensivo,4-3-2-1,Cuca,Jayme de Almeida Filho
4521,Transfermarkt,2344172,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344172,2013,30,2013-10-20,Bahia,Sao Paulo,0,1,exact,4-4-2,5-3-2,Cristóvão Borges,Muricy Ramalho
4522,Transfermarkt,2344168,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344168,2013,30,2013-10-20,Goias,Athletico-PR,3,0,exact,4-3-3,3-3-4,Enderson Moreira,Vagner Mancini
4523,Transfermarkt,2344173,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344173,2013,30,2013-10-20,Internacional,Gremio,2,2,exact,4-4-2 duplo 6,4-3-3 ofensivo,Clemer,Renato Gaúcho
4524,Transfermarkt,2344228,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344228,2013,30,2013-10-20,Botafogo-RJ,Vasco,2,2,exact,4-4-2,3-7-0,Oswaldo de Oliveira,Dorival Júnior
4525,Transfermarkt,2344164,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344164,2013,30,2013-10-20,Coritiba,Cruzeiro,2,1,exact,3-5-2,4-3-3,Péricles Chamusca,Marcelo Oliveira
4526,Transfermarkt,2344177,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344177,2013,30,2013-10-20,Portuguesa,Vitoria,1,1,exact,4-4-2 duplo 6,4-4-2 duplo 6,Guto Ferreira,Ney Franco
4527,Transfermarkt,2344261,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344261,2013,31,2013-10-26,Botafogo-RJ,Atletico-MG,1,0,exact,4-4-2,4-2-4,Oswaldo de Oliveira,Cuca
