source,source_match_id,source_url,partida_id,temporada_id,rodada,data,mandante,visitante,gols_mandante,gols_visitante,match_method,formacao_mandante,formacao_visitante,tecnico_mandante,tecnico_visitante
Transfermarkt,3476402,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3476402,1105,2005,1,2005-04-23,Parana,Goias,0,2,exact,,,Lori Sandri,Péricles Chamusca
Transfermarkt,3476403,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3476403,1106,2005,1,2005-04-23,Atletico-MG,Figueirense,4,1,exact,,,Tite,Marco Aurélio
Transfermarkt,3476404,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3476404,1107,2005,1,2005-04-23,Sao Caetano,Palmeiras,2,2,exact,,,Estevam Soares,Paulo Bonamigo
Transfermarkt,3476405,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3476405,1108,2005,1,2005-04-23,Flamengo,Cruzeiro,1,1,exact,,,Celso Roth,Levir Culpi
Transfermarkt,3476406,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3476406,1109,2005,1,2005-04-24,Internacional,Botafogo-RJ,0,2,exact,,,Muricy Ramalho,Paulo César Gusmão
Transfermarkt,3476407,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3476407,1110,2005,1,2005-04-24,Fortaleza,Coritiba,0,1,exact,,,Vágner Benazzi,Antônio Lopes
Transfermarkt,3476408,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3476408,1111,2005,1,2005-04-24,Fluminense,Sao Paulo,2,1,exact,,,Abel Braga,Milton Cruz
Transfermarkt,3476409,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3476409,1112,2005,1,2005-04-24,Corinthians,Juventude,2,2,exact,,,Daniel Passarella,Ivo Wortmann
Transfermarkt,3476410,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3476410,1113,2005,1,2005-04-24,Athletico-PR,Ponte Preta,0,1,exact,,,Edinho,Vadão
Transfermarkt,3476413,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3476413,1116,2005,2,2005-04-30,Goias,Sao Caetano,0,0,exact,,,Edson Gaúcho,Estevam Soares
Transfermarkt,3476414,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3476414,1117,2005,2,2005-04-30,Vasco,Fortaleza,0,0,exact,,,Dário Lourenço,Vágner Benazzi
Transfermarkt,3476416,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3476416,1119,2005,2,2005-04-30,Ponte Preta,Atletico-MG,3,3,exact,,,Vadão,Tite
Transfermarkt,3476417,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3476417,1120,2005,2,2005-04-30,Sao Paulo,Parana,1,1,exact,,,Paulo Autuori,Lori Sandri
Transfermarkt,3476418,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3476418,1121,2005,2,2005-05-01,Cruzeiro,Internacional,3,2,exact,,,Levir Culpi,Muricy Ramalho
Transfermarkt,3476419,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3476419,1122,2005,2,2005-05-01,Juventude,Athletico-PR,1,0,exact,,,Ivo Wortmann,Edinho
Transfermarkt,3476420,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3476420,1123,2005,2,2005-05-01,Figueirense,Flamengo,0,1,exact,,,Marco Aurélio,Celso Roth
Transfermarkt,3476421,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3476421,1124,2005,2,2005-05-01,Botafogo-RJ,Corinthians,3,1,exact,,,Paulo César Gusmão,Daniel Passarella
Transfermarkt,3476422,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3476422,1125,2005,2,2005-05-01,Coritiba,Santos,2,3,exact,,,Cuca,Alexandre Gallo
Transfermarkt,3476423,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3476423,1126,2005,2,2005-05-01,Paysandu,Fluminense,1,2,exact,,,Paulo Campos,Abel Braga
