temporada,rodada,match_id,erro
2005,1,3476411,sem tecnico/formacao
2005,1,3476412,sem tecnico/formacao
2005,2,3476415,sem tecnico/formacao
2005,3,3476427,sem tecnico/formacao
2005,3,3476434,sem tecnico/formacao
2005,5,3476448,sem tecnico/formacao
2005,6,3476464,sem tecnico/formacao
2005,7,3476477,sem tecnico/formacao
2005,8,3476484,sem tecnico/formacao
2005,9,3476491,sem tecnico/formacao
2005,10,3476503,sem tecnico/formacao
2005,11,3476519,sem tecnico/formacao
2005,12,3476523,sem tecnico/formacao
2005,13,3476535,sem tecnico/formacao
2005,13,3476540,sem tecnico/formacao
2005,14,3476553,sem tecnico/formacao
2005,15,3476565,sem tecnico/formacao
2005,16,3476571,sem tecnico/formacao
2005,16,3476574,sem tecnico/formacao
2005,17,3476587,sem tecnico/formacao
2005,19,3476606,sem tecnico/formacao
2005,20,3476616,sem tecnico/formacao
2005,22,3476634,sem tecnico/formacao
2005,25,3476669,sem tecnico/formacao
2005,31,3476742,sem tecnico/formacao
2005,32,3476747,sem tecnico/formacao
2005,33,3476763,sem tecnico/formacao
2005,34,3476765,sem tecnico/formacao
2005,34,3476773,sem tecnico/formacao
2005,38,3476811,sem tecnico/formacao
2005,40,3476837,sem tecnico/formacao
2005,41,3476849,sem tecnico/formacao
2005,42,3476856,sem tecnico/formacao
