source,source_match_id,source_url,partida_id,temporada_id,rodada,data,mandante,visitante,gols_mandante,gols_visitante,formacao_mandante,formacao_visitante,tecnico_mandante,tecnico_visitante
Transfermarkt,1091614,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1091614,3467,2011,1,2011-05-21,Atletico-MG,Athletico-PR,3,0,,,Dorival Júnior,Adilson Batista
Transfermarkt,1091612,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1091612,3468,2011,1,2011-05-21,Flamengo,Avai,4,0,4-4-2,3-5-2,Vanderlei Luxemburgo,Silas
Transfermarkt,1091613,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1091613,3469,2011,1,2011-05-21,Ceara,Vasco,1,3,4-4-2,4-5-1,Vagner Mancini,Ricardo Gomes
Transfermarkt,1091615,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1091615,3470,2011,1,2011-05-21,Santos,Internacional,1,1,3-5-2,4-5-1,Muricy Ramalho,Falcão
Transfermarkt,1091616,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1091616,3471,2011,1,2011-05-22,Palmeiras,Botafogo-RJ,1,0,4-4-2,3-5-2,Luiz Felipe Scolari,Cassius Hartmann
Transfermarkt,1091617,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1091617,3472,2011,1,2011-05-22,Gremio,Corinthians,1,2,4-4-2,4-4-2,Renato Gaúcho,Tite
Transfermarkt,1091618,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1091618,3473,2011,1,2011-05-22,Coritiba,Atletico-GO,0,1,4-4-2,4-4-2,Marcelo Oliveira,Paulo César Gusmão
Transfermarkt,1091619,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1091619,3474,2011,1,2011-05-22,Figueirense,Cruzeiro,1,0,4-4-2,4-4-2,Jorginho,Cuca
Transfermarkt,1091620,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1091620,3475,2011,1,2011-05-22,Fluminense,Sao Paulo,0,2,4-4-2,4-5-1,Enderson Moreira,Paulo César Carpegiani
Transfermarkt,1091621,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1091621,3476,2011,1,2011-05-22,America-MG,Bahia,2,1,4-4-2,4-4-2,Mauro Fernandes,Renê Simões
Transfermarkt,1093661,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1093661,3497,2011,4,2011-06-11,Cruzeiro,Santos,1,1,4-4-2,4-3-3 defensivo,Cuca,Muricy Ramalho
Transfermarkt,1093662,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1093662,3498,2011,4,2011-06-11,Avai,America-MG,2,2,3-5-2,4-4-2,Alexandre Gallo,Mauro Fernandes
Transfermarkt,1093663,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1093663,3499,2011,4,2011-06-11,Sao Paulo,Gremio,3,1,4-5-1,4-5-1,Paulo César Carpegiani,Renato Gaúcho
Transfermarkt,1093664,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1093664,3500,2011,4,2011-06-11,Vasco,Figueirense,1,1,4-4-2,4-4-2,Ricardo Gomes,Jorginho
Transfermarkt,1093667,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1093667,3501,2011,4,2011-06-12,Internacional,Palmeiras,2,2,4-4-2,4-4-2,Falcão,Luiz Felipe Scolari
Transfermarkt,1093668,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1093668,3502,2011,4,2011-06-12,Corinthians,Fluminense,2,0,4-3-3 ofensivo,4-4-2,Tite,Abel Braga
