temporada,rodada,partida_id_banco,data_banco,mandante_banco,visitante_banco,placar_banco,match_id_transfermarkt,data_transfermarkt,mandante_transfermarkt,visitante_transfermarkt,placar_transfermarkt,source_url,duvida
2008,11,2417,2008-07-06,Sao Paulo,Palmeiras,2-1,909357,2008-07-13,Sao Paulo,Palmeiras,2-1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/909357,"mesmos times/rodada/placar, mas data diferente; confirmar antes de aplicar"
2008,11,2418,2008-07-06,Cruzeiro,Atletico-MG,2-1,909356,2008-07-13,Cruzeiro,Atletico-MG,2-1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/909356,"mesmos times/rodada/placar, mas data diferente; confirmar antes de aplicar"
2008,11,2419,2008-07-06,Athletico-PR,Internacional,1-1,909353,2008-07-13,Athletico-PR,Internacional,1-1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/909353,"mesmos times/rodada/placar, mas data diferente; confirmar antes de aplicar"
2008,11,2420,2008-07-06,Santos,Botafogo-RJ,2-2,909352,2008-07-13,Santos,Botafogo-RJ,2-2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/909352,"mesmos times/rodada/placar, mas data diferente; confirmar antes de aplicar"
2008,11,2421,2008-07-06,Ipatinga,Figueirense,0-1,909355,2008-07-13,Ipatinga,Figueirense,0-1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/909355,"mesmos times/rodada/placar, mas data diferente; confirmar antes de aplicar"
2008,11,2422,2008-07-06,Gremio,Portuguesa,2-1,909358,2008-07-13,Gremio,Portuguesa,2-1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/909358,"mesmos times/rodada/placar, mas data diferente; confirmar antes de aplicar"
2008,11,2423,2008-07-06,Nautico,Sport,0-2,909359,2008-07-13,Nautico,Sport,0-2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/909359,"mesmos times/rodada/placar, mas data diferente; confirmar antes de aplicar"
2008,11,2424,2008-07-06,Flamengo,Vasco,3-1,909354,2008-07-13,Flamengo,Vasco,3-1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/909354,"mesmos times/rodada/placar, mas data diferente; confirmar antes de aplicar"
2008,14,2447,2008-07-17,Palmeiras,Santos,4-2,909389,2008-07-24,Palmeiras,Santos,4-2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/909389,"mesmos times/rodada/placar, mas data diferente; confirmar antes de aplicar"
2008,14,2448,2008-07-17,Figueirense,Gremio,1-7,909388,2008-07-24,Figueirense,Gremio,1-7,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/909388,"mesmos times/rodada/placar, mas data diferente; confirmar antes de aplicar"
2008,14,2449,2008-07-17,Sport,Athletico-PR,1-0,909387,2008-07-24,Sport,Athletico-PR,1-0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/909387,"mesmos times/rodada/placar, mas data diferente; confirmar antes de aplicar"
2009,6,2760,2009-05-31,Goias,Corinthians,0-0,939124,2009-06-14,Goias,Corinthians,0-0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/939124,"mesmos times/rodada/placar, mas data diferente; confirmar antes de aplicar"
2009,6,2761,2009-05-31,Fluminense,Gremio,0-0,939123,2009-06-14,Fluminense,Gremio,0-0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/939123,"mesmos times/rodada/placar, mas data diferente; confirmar antes de aplicar"
2009,6,2762,2009-05-31,Coritiba,Flamengo,5-0,939122,2009-06-14,Coritiba,Flamengo,5-0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/939122,"mesmos times/rodada/placar, mas data diferente; confirmar antes de aplicar"
2009,6,2763,2009-05-31,Atletico-MG,Nautico,3-0,939125,2009-06-14,Atletico-MG,Nautico,3-0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/939125,"mesmos times/rodada/placar, mas data diferente; confirmar antes de aplicar"
2009,6,2764,2009-05-31,Barueri,Avai,3-1,939128,2009-06-14,Barueri,Avai,3-1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/939128,"mesmos times/rodada/placar, mas data diferente; confirmar antes de aplicar"
2009,6,2765,2009-05-31,Palmeiras,Cruzeiro,3-1,939127,2009-06-14,Palmeiras,Cruzeiro,3-1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/939127,"mesmos times/rodada/placar, mas data diferente; confirmar antes de aplicar"
2009,6,2766,2009-05-31,Internacional,Vitoria,0-0,939121,2009-06-14,Internacional,Vitoria,0-0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/939121,"mesmos times/rodada/placar, mas data diferente; confirmar antes de aplicar"
2010,5,3130,2010-05-23,Guarani,Sao Paulo,0-0,1004795,2010-05-30,Guarani,Sao Paulo,0-0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1004795,"mesmos times/rodada/placar, mas data diferente; confirmar antes de aplicar"
2010,5,3131,2010-05-23,Atletico-MG,Fluminense,1-3,1004796,2010-05-30,Atletico-MG,Fluminense,1-3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1004796,"mesmos times/rodada/placar, mas data diferente; confirmar antes de aplicar"
2010,5,3132,2010-05-23,Internacional,Athletico-PR,4-1,1004797,2010-05-30,Internacional,Athletico-PR,4-1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1004797,"mesmos times/rodada/placar, mas data diferente; confirmar antes de aplicar"
2010,5,3133,2010-05-23,Corinthians,Santos,4-2,1004794,2010-05-30,Corinthians,Santos,4-2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1004794,"mesmos times/rodada/placar, mas data diferente; confirmar antes de aplicar"
2010,5,3134,2010-05-23,Ceara,Cruzeiro,1-0,1004798,2010-05-30,Ceara,Cruzeiro,1-0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1004798,"mesmos times/rodada/placar, mas data diferente; confirmar antes de aplicar"
2010,5,3135,2010-05-23,Botafogo-RJ,Vasco,1-1,1004800,2010-05-30,Botafogo-RJ,Vasco,1-1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1004800,"mesmos times/rodada/placar, mas data diferente; confirmar antes de aplicar"
2010,5,3136,2010-05-23,Atletico-GO,Goias,1-3,1004799,2010-05-30,Atletico-GO,Goias,1-3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1004799,"mesmos times/rodada/placar, mas data diferente; confirmar antes de aplicar"
2010,34,3417,2010-11-06,Atletico-MG,Santos,2-2,1009425,2010-11-07,Atletico-MG,Santos,2-2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1009425,"mesmos times/rodada/placar, mas data diferente; confirmar antes de aplicar"
2010,34,3418,2010-11-06,Gremio,Ceara,5-1,1009426,2010-11-07,Gremio,Ceara,5-1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1009426,"mesmos times/rodada/placar, mas data diferente; confirmar antes de aplicar"
2010,34,3419,2010-11-06,Atletico-GO,Internacional,2-2,1009427,2010-11-07,Atletico-GO,Internacional,2-2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1009427,"mesmos times/rodada/placar, mas data diferente; confirmar antes de aplicar"
