status,nome_rsssf,selecao,gols_rsssf,periodo_rsssf,nome_banco,gols_banco,periodo_banco,diferenca,criterio_match,observacao
ok,Miroslav KLOSE,Alemanha,16,2002-2014,Klose,16,2002-2014,0,nome,
ok,RONALDO Luis Nazário de Lima,Brasil,15,1998-2006,Ronaldo,15,1998-2006,0,nome,
ok,Gerhard MÜLLER,Alemanha,14,1970-1974,Gerd Müller,14,1970-1974,0,nome,
ok,Just FONTAINE,França,13,1958,Fontaine,13,1958,0,nome,
ok,Lionel MESSI,Argentina,13,2010-2022,Messi,13,2006-2022,0,nome,
ok,PELÉ Edson Arantes do Nascimento,Brasil,12,1958-1970,Pelé,12,1958-1970,0,nome,
ok,Kylian MBAPPÉ,França,12,2018-2022,Mbappé,12,2018-2022,0,nome,
ok,Sándor KOCSIS Péter,Hungria,11,1954,Kocsis,11,1954,0,nome,
ok,Jürgen KLINSMANN,Alemanha,11,1990-1998,Klinsmann,11,1990-1998,0,nome,
ok,Helmut RAHN,Alemanha,10,1954-1958,Rahn,10,1954-1958,0,nome,
ok,Teófilo CUBILLAS Arizaga,Peru,10,1970-1982,Cubillas,10,1970-1978,0,nome,
ok,Grzegorz Boleslaw LATO,Polônia,10,1974-1982,Grzegorz Lato,10,1974-1982,0,selecao_e_gols,
ok,Gary Winston LINEKER,Inglaterra,10,1986-1990,Gary Lineker,10,1986-1990,0,selecao_e_gols,
ok,Gabriel Omar BATISTUTA,Argentina,10,1994-2002,Batistuta,10,1994-2002,0,nome,
ok,Thomas MÜLLER,Alemanha,10,2010-2014,Thomas Müller,10,2010-2014,0,nome,
ok,ADEMIR Marques de Menezes,Brasil,9,1950,Ademir,9,1950,0,nome,
ok,VAVÁ Edvaldo Izidio Neto,Brasil,9,1958-1962,Vavá,9,1958-1962,0,nome,
ok,EUSEBIO da Silva Ferreira,Portugal,9,1966,Eusébio,9,1966,0,nome,
ok,Uwe SEELER,Alemanha,9,1958-1970,Seeler,9,1958-1970,0,nome,
ok,JAIRZINHO Jair Ventura Filho,Brasil,9,1966-1974,Jairzinho,9,1970-1974,0,nome,
ok,Paolo ROSSI,Itália,9,1978-1982,Paolo Rossi,9,1978-1982,0,selecao_e_gols,
ok,Karl Heinz RUMMENIGGE,Alemanha,9,1978-1986,Rummenigge,9,1978-1986,0,nome,
ok,Roberto BAGGIO,Itália,9,1990-1998,Roberto Baggio,9,1990-1998,0,selecao_e_gols,
ok,Christian VIERI,Itália,9,1998-2002,Vieri,9,1998-2002,0,nome,
ok,David VILLA,Espanha,9,2006-2014,Villa,9,2006-2014,0,nome,
ok,Guillermo STÁBILE,Argentina,8,1930,Stábile,8,1930,0,nome,
ok,LEÔNIDAS da Silva,Brasil,8,1934-1938,Leônidas,8,1934-1938,0,nome,"Mantido como divergencia de criterio: RSSSF lista 8 gols, mas a Wikipedia PT de 1938 credita a Leônidas 7 gols e informa que a FIFA reatribuiu a Roberto o gol do replay Brasil 2 x 1 Tchecoslovaquia."
ok,Oscar Omar MÍGUEZ,Uruguai,8,1950-1954,Míguez,8,1950-1954,0,nome,
ok,Diego Armando MARADONA,Argentina,8,1982-1994,Maradona,8,1982-1994,0,nome,
ok,Rudolf VÖLLER,Alemanha,8,1986-1994,Völler,8,1986-1994,0,nome,
ok,RIVALDO Victor Borba Ferreira,Brasil,8,1998-2002,Rivaldo,8,1998-2002,0,nome,
ok,Cristiano RONALDO dos Santos Aveiro,Portugal,8,2006-2022,Cristiano Ronaldo,8,2006-2022,0,nome,
ok,NEYMAR da Silva Santos Júnior,Brasil,8,2014-2022,Neymar,8,2014-2022,0,nome,
ok,Harry Edward KANE,Inglaterra,8,2018-2022,Kane,8,2018-2022,0,nome,
ok,Oldrich NEJEDLÝ,Tchecoslováquia,7,1934-1938,Nejedlý,7,1934-1938,0,selecao_e_gols,
ok,Hans SCHÄFER,Alemanha,7,1954-1962,Schäfer,7,1954-1958,0,selecao_e_gols,
ok,Lajos TICHY,Hungria,7,1958-1962,Tichy,7,1958-1962,0,selecao_e_gols,
ok,Johannes Nicolaus REP,Países Baixos,7,1974-1978,Rep,7,1974-1978,0,selecao_e_gols,
ok,Andrzej SZARMACH,Polônia,7,1974-1982,Andrzej Szarmach,7,1974-1982,0,nome,
ok,CARECA Antônio de Oliveira Filho,Brasil,7,1986-1990,Careca,7,1986-1990,0,selecao_e_gols,
ok,Luis Alberto SUÁREZ,Uruguai,7,2010-2018,Suárez,7,2010-2018,0,selecao_e_gols,
ok,György SÁROSI,Hungria,6,1934-1938,Sárósi,6,1934-1938,0,selecao_e_gols,
ok,Josef HÜGI,Suíça,6,1954,Hügi,6,1954,0,selecao_e_gols,
ok,Erich PROBST,Áustria,6,1954,Probst,6,1954,0,selecao_e_gols,
