edicao,fase,grupo,data,partida,time_1,placar,time_2,estadio,selecao,adversario,jogador,minuto,acrescimo,minuto_texto,tipo_oficial,tipo_tecnico,parte_corpo,tecnica,zona,xg,distancia_m,coordenada_x,coordenada_y,eh_penalti,eh_gol_contra,eh_falta,eh_cabeca,eh_fora_area,situacao,fonte_situacao,frase_situacao,fonte_oficial,fonte_tecnica,nivel_confianca,texto_original,gol_id,partida_id_local
1930,Fase de grupos,Grupo A,13 de julho,França 4 - 1 México,França,4 - 1,México,"Estádio Pocitos, Montevidéu",França,México,L. Laurent,19,,19',normal,Não detalhado,Não detalhado,Não detalhado,Não detalhado,,,,,False,False,False,False,False,Não informado,,,Wikipedia PT,,alta,L. Laurent 19',1,1930-001
1930,Fase de grupos,Grupo A,13 de julho,França 4 - 1 México,França,4 - 1,México,"Estádio Pocitos, Montevidéu",França,México,Langiller,40,,40',normal,Não detalhado,Não detalhado,Não detalhado,Não detalhado,,,,,False,False,False,False,False,Não informado,,,Wikipedia PT,,alta,Langiller 40',2,1930-001
1930,Fase de grupos,Grupo A,13 de julho,França 4 - 1 México,França,4 - 1,México,"Estádio Pocitos, Montevidéu",França,México,Maschinot,43,,43',normal,Não detalhado,Não detalhado,Não detalhado,Não detalhado,,,,,False,False,False,False,False,Não informado,,,Wikipedia PT,,alta,Maschinot 43',3,1930-001
1930,Fase de grupos,Grupo A,13 de julho,França 4 - 1 México,França,4 - 1,México,"Estádio Pocitos, Montevidéu",França,México,Maschinot,87,,87',normal,Não detalhado,Não detalhado,Não detalhado,Não detalhado,,,,,False,False,False,False,False,Não informado,,,Wikipedia PT,,alta,Maschinot 87',4,1930-001
1930,Fase de grupos,Grupo A,13 de julho,França 4 - 1 México,França,4 - 1,México,"Estádio Pocitos, Montevidéu",México,França,Carreño,70,,70',normal,Não detalhado,Não detalhado,Não detalhado,Não detalhado,,,,,False,False,False,False,False,Não informado,,,Wikipedia PT,,alta,Carreño 70',5,1930-001
1930,Fase de grupos,Grupo A,15 de julho,Argentina 1 - 0 França,Argentina,1 - 0,França,"Estádio Parque Central, Montevidéu",Argentina,França,Monti,81,,81',normal,Não detalhado,Não detalhado,Não detalhado,Não detalhado,,,,,False,False,False,False,False,Falta,Relato (Wikipedia EN),only succumbing to an 81st-minute goal scored from a Monti free kick,Wikipedia PT,,alta,Monti 81',6,1930-002
1930,Fase de grupos,Grupo A,16 de julho,Chile 3 - 0 México,Chile,3 - 0,México,"Estádio Parque Central, Montevidéu",Chile,México,Carlos Vidal,3,,3',normal,Não detalhado,Não detalhado,Não detalhado,Não detalhado,,,,,False,False,False,False,False,Não informado,,,Wikipedia PT,,alta,Carlos Vidal 3',7,1930-003
1930,Fase de grupos,Grupo A,16 de julho,Chile 3 - 0 México,Chile,3 - 0,México,"Estádio Parque Central, Montevidéu",Chile,México,Carlos Vidal,65,,65',normal,Não detalhado,Não detalhado,Não detalhado,Não detalhado,,,,,False,False,False,False,False,Não informado,,,Wikipedia PT,,alta,Carlos Vidal 65',8,1930-003
1930,Fase de grupos,Grupo A,16 de julho,Chile 3 - 0 México,Chile,3 - 0,México,"Estádio Parque Central, Montevidéu",Chile,México,M. Rosas,52,,52',gol_contra,Gol contra,Não detalhado,Não detalhado,Não detalhado,,,,,False,True,False,False,False,Gol contra,Wikipedia PT - marcador,,Wikipedia PT,Wikipedia PT - marcador,alta,M. Rosas 52' (g.c.),9,1930-003
1930,Fase de grupos,Grupo A,19 de julho,Chile 1 - 0 França,Chile,1 - 0,França,"Estádio Centenário, Montevidéu",Chile,França,Subiabre,67,,67',normal,Não detalhado,Não detalhado,Não detalhado,Não detalhado,,,,,False,False,False,False,False,Não informado,,,Wikipedia PT,,alta,Subiabre 67',10,1930-004
1930,Fase de grupos,Grupo A,19 de julho,Argentina 6 - 3 México,Argentina,6 - 3,México,"Estádio Centenário, Montevidéu",Argentina,México,Stábile,8,,8',normal,Não detalhado,Não detalhado,Não detalhado,Não detalhado,,,,,False,False,False,False,False,Não informado,,,Wikipedia PT,,alta,Stábile 8',11,1930-005
1930,Fase de grupos,Grupo A,19 de julho,Argentina 6 - 3 México,Argentina,6 - 3,México,"Estádio Centenário, Montevidéu",Argentina,México,Stábile,17,,17',normal,Não detalhado,Não detalhado,Não detalhado,Não detalhado,,,,,False,False,False,False,False,Não informado,,,Wikipedia PT,,alta,Stábile 17',12,1930-005
1930,Fase de grupos,Grupo A,19 de julho,Argentina 6 - 3 México,Argentina,6 - 3,México,"Estádio Centenário, Montevidéu",Argentina,México,Stábile,80,,80',normal,Não detalhado,Não detalhado,Não detalhado,Não detalhado,,,,,False,False,False,False,False,Não informado,,,Wikipedia PT,,alta,Stábile 80',13,1930-005
1930,Fase de grupos,Grupo A,19 de julho,Argentina 6 - 3 México,Argentina,6 - 3,México,"Estádio Centenário, Montevidéu",Argentina,México,Zumelzú,12,,12',normal,Não detalhado,Não detalhado,Não detalhado,Não detalhado,,,,,False,False,False,False,False,Não informado,,,Wikipedia PT,,alta,Zumelzú 12',14,1930-005
1930,Fase de grupos,Grupo A,19 de julho,Argentina 6 - 3 México,Argentina,6 - 3,México,"Estádio Centenário, Montevidéu",Argentina,México,Zumelzú,55,,55',normal,Não detalhado,Não detalhado,Não detalhado,Não detalhado,,,,,False,False,False,False,False,Não informado,,,Wikipedia PT,,alta,Zumelzú 55',15,1930-005
1930,Fase de grupos,Grupo A,19 de julho,Argentina 6 - 3 México,Argentina,6 - 3,México,"Estádio Centenário, Montevidéu",Argentina,México,Varallo,53,,53',normal,Não detalhado,Não detalhado,Não detalhado,Não detalhado,,,,,False,False,False,False,False,Não informado,,,Wikipedia PT,,alta,Varallo 53',16,1930-005
