ano,statsbomb_partida_id,data,fase,mandante,visitante,placar_mandante,placar_visitante,selecao,adversario,jogador,minuto,segundo,periodo,parte_corpo,parte_corpo_pt,tipo_chute,tipo_chute_pt,tecnica,tecnica_pt,padrao_jogada,padrao_jogada_pt,situacao,xg,x,y,fim_x,fim_y,fim_z,zona,distancia_m,eh_penalti,eh_falta,eh_cabeca,eh_pe_direito,eh_pe_esquerdo,eh_fora_area,eh_primeira,eh_gol_aberto,eh_voleio,fonte
1958,3888704,1958-06-24,Semifinal,Brasil,França,5,2,Brasil,França,Edvaldo Izidio Neto,1,16,1,Right Foot,Pé direito,Open Play,Bola rolando,Half Volley,Meio voleio,Regular Play,Bola rolando,Bola rolando,0.3319,110.3,40.5,120.0,39.9,1.0,Dentro da área,8.5,False,False,False,True,False,False,False,False,True,StatsBomb Open Data
1958,3888704,1958-06-24,Semifinal,Brasil,França,5,2,França,Brasil,Just Louis Fontaine,8,9,1,Left Foot,Pé esquerdo,Open Play,Bola rolando,Normal,Normal,From Counter,Contra-ataque,Contra-ataque,0.6723,113.7,32.8,120.0,37.9,2.2,Dentro da área,8.2,False,False,False,False,True,False,False,False,False,StatsBomb Open Data
1958,3888704,1958-06-24,Semifinal,Brasil,França,5,2,Brasil,França,Waldyr Pereira,40,13,1,Left Foot,Pé esquerdo,Open Play,Bola rolando,Half Volley,Meio voleio,Regular Play,Bola rolando,Bola rolando,0.0159,85.4,44.2,120.0,43.6,2.3,Fora da área,30.5,False,False,False,False,True,True,False,False,True,StatsBomb Open Data
1958,3888704,1958-06-24,Semifinal,Brasil,França,5,2,Brasil,França,Édson Arantes do Nascimento,51,48,2,Left Foot,Pé esquerdo,Open Play,Bola rolando,Normal,Normal,Regular Play,Bola rolando,Bola rolando,0.6623,116.0,41.3,120.0,42.3,0.2,Pequena área,3.7,False,False,False,False,True,False,True,False,False,StatsBomb Open Data
1958,3888704,1958-06-24,Semifinal,Brasil,França,5,2,Brasil,França,Édson Arantes do Nascimento,63,24,2,Right Foot,Pé direito,Open Play,Bola rolando,Normal,Normal,Regular Play,Bola rolando,Bola rolando,0.2858,110.7,45.6,120.0,37.4,1.4,Dentro da área,9.4,False,False,False,True,False,False,True,False,False,StatsBomb Open Data
1958,3888704,1958-06-24,Semifinal,Brasil,França,5,2,Brasil,França,Édson Arantes do Nascimento,74,44,2,Right Foot,Pé direito,Open Play,Bola rolando,Half Volley,Meio voleio,Regular Play,Bola rolando,Bola rolando,0.1268,103.4,41.6,120.0,36.7,0.6,Dentro da área,14.6,False,False,False,True,False,False,False,False,True,StatsBomb Open Data
1958,3888704,1958-06-24,Semifinal,Brasil,França,5,2,França,Brasil,Roger Piantoni,82,48,2,Left Foot,Pé esquerdo,Open Play,Bola rolando,Normal,Normal,From Free Kick,Falta,Falta,0.0459,96.7,35.1,120.0,43.6,0.2,Fora da área,20.8,False,False,False,False,True,True,False,False,False,StatsBomb Open Data
1958,3888705,1958-06-29,Final,Brasil,Suécia,5,2,Suécia,Brasil,Nils Liedholm,4,12,1,Right Foot,Pé direito,Open Play,Bola rolando,Normal,Normal,Regular Play,Bola rolando,Bola rolando,0.1554,103.1,47.6,120.0,36.7,0.2,Dentro da área,16.1,False,False,False,True,False,False,False,False,False,StatsBomb Open Data
1958,3888705,1958-06-29,Final,Brasil,Suécia,5,2,Brasil,Suécia,Edvaldo Izidio Neto,8,28,1,Right Foot,Pé direito,Open Play,Bola rolando,Normal,Normal,From Corner,Escanteio,Escanteio,0.6873,115.6,40.5,120.0,40.2,0.5,Pequena área,3.9,False,False,False,True,False,False,True,True,False,StatsBomb Open Data
1958,3888705,1958-06-29,Final,Brasil,Suécia,5,2,Brasil,Suécia,Edvaldo Izidio Neto,31,25,1,Left Foot,Pé esquerdo,Open Play,Bola rolando,Normal,Normal,Regular Play,Bola rolando,Bola rolando,0.7435,115.8,42.1,120.0,41.0,0.3,Pequena área,4.1,False,False,False,False,True,False,True,False,False,StatsBomb Open Data
1958,3888705,1958-06-29,Final,Brasil,Suécia,5,2,Brasil,Suécia,Édson Arantes do Nascimento,54,34,2,Right Foot,Pé direito,Open Play,Bola rolando,Half Volley,Meio voleio,Regular Play,Bola rolando,Bola rolando,0.328,108.7,39.3,120.0,38.0,0.3,Dentro da área,9.9,False,False,False,True,False,False,False,False,True,StatsBomb Open Data
1958,3888705,1958-06-29,Final,Brasil,Suécia,5,2,Brasil,Suécia,Mário Jorge Lobo Zagallo,67,5,2,Left Foot,Pé esquerdo,Open Play,Bola rolando,Normal,Normal,From Corner,Escanteio,Escanteio,0.2116,115.8,31.3,120.0,38.6,0.2,Pequena área,8.3,False,False,False,False,True,False,False,False,False,StatsBomb Open Data
1958,3888705,1958-06-29,Final,Brasil,Suécia,5,2,Suécia,Brasil,Agne Simonsson,79,18,2,Right Foot,Pé direito,Open Play,Bola rolando,Normal,Normal,Regular Play,Bola rolando,Bola rolando,0.3682,107.4,46.8,120.0,39.7,0.3,Dentro da área,12.4,False,False,False,True,False,False,True,False,False,StatsBomb Open Data
1958,3888705,1958-06-29,Final,Brasil,Suécia,5,2,Brasil,Suécia,Édson Arantes do Nascimento,90,37,2,Head,Cabeça,Open Play,Bola rolando,Normal,Normal,Regular Play,Bola rolando,Bola rolando,0.3243,113.3,41.4,120.0,36.3,1.1,Dentro da área,6.0,False,False,True,False,False,False,False,False,False,StatsBomb Open Data
1962,3888854,1962-05-30,Fase de grupos,Brasil,México,2,0,Brasil,México,Mário Jorge Lobo Zagallo,54,38,2,Head,Cabeça,Open Play,Bola rolando,Diving Header,Peixinho,Regular Play,Bola rolando,Bola rolando,0.1926,111.3,35.5,120.0,42.3,2.0,Dentro da área,8.5,False,False,True,False,False,False,False,False,False,StatsBomb Open Data
1962,3888854,1962-05-30,Fase de grupos,Brasil,México,2,0,Brasil,México,Édson Arantes do Nascimento,69,39,2,Left Foot,Pé esquerdo,Open Play,Bola rolando,Normal,Normal,From Free Kick,Falta,Falta,0.2029,107.7,44.5,120.0,37.3,0.3,Dentro da área,11.4,False,False,False,False,True,False,False,False,False,StatsBomb Open Data
1970,3888699,1970-06-03,Fase de grupos,Brasil,Tchecoslováquia,4,1,Tchecoslováquia,Brasil,Ladislav Petráš,11,2,1,Left Foot,Pé esquerdo,Open Play,Bola rolando,Normal,Normal,From Free Kick,Falta,Falta,0.3864,110.9,35.6,120.0,37.7,1.5,Dentro da área,8.8,False,False,False,False,True,False,False,False,False,StatsBomb Open Data
1970,3888699,1970-06-03,Fase de grupos,Brasil,Tchecoslováquia,4,1,Brasil,Tchecoslováquia,Roberto Rivelino,23,41,1,Left Foot,Pé esquerdo,Free Kick,Falta,Normal,Normal,From Free Kick,Falta,Falta,0.0929,100.6,43.8,120.0,36.9,0.5,Fora da área,17.3,False,True,False,False,True,True,False,False,False,StatsBomb Open Data
1970,3888699,1970-06-03,Fase de grupos,Brasil,Tchecoslováquia,4,1,Brasil,Tchecoslováquia,Édson Arantes do Nascimento,59,31,2,Right Foot,Pé direito,Open Play,Bola rolando,Half Volley,Meio voleio,Regular Play,Bola rolando,Bola rolando,0.1837,112.5,46.1,120.0,36.9,1.3,Dentro da área,8.4,False,False,False,True,False,False,False,False,True,StatsBomb Open Data
