temporada,rodada,partida_id,data,mandante,visitante,placar,o_que_falta,tecnico_mandante_atual,tecnico_visitante_atual,formacao_mandante_atual,formacao_visitante_atual,source_url_transfermarkt,campos_disponiveis_transfermarkt,transfermarkt_tecnico_mandante,transfermarkt_tecnico_visitante,transfermarkt_formacao_mandante,transfermarkt_formacao_visitante,onde_procurar,observacao
2008,5,2370,2008-06-08,Portuguesa,Internacional,3-1,"tecnico_mandante, tecnico_visitante",,,4-4-2,4-4-2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/909294,"formacao_mandante, formacao_visitante",,,4-4-2,4-4-2,Transfermarkt linkado; ogol se Transfermarkt nao trouxer tecnico/formacao; ESPN/arquivo local como fallback,Link conhecido; conferir/aplicar somente os campos listados em o_que_falta.
2008,13,2464,2008-07-20,Flamengo,Vitoria,0-1,"formacao_mandante, formacao_visitante",Caio Júnior,Vagner Mancini,,,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/909377,"tecnico_mandante, tecnico_visitante",Caio Júnior,Vagner Mancini,,,Transfermarkt linkado; ogol se Transfermarkt nao trouxer tecnico/formacao; ESPN/arquivo local como fallback,Link conhecido; conferir/aplicar somente os campos listados em o_que_falta.
2008,21,2530,2008-08-20,Sao Paulo,Athletico-PR,3-1,"formacao_mandante, formacao_visitante",Muricy Ramalho,Mário Sérgio,,,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/923049,"tecnico_mandante, tecnico_visitante",Muricy Ramalho,Mário Sérgio,,,Transfermarkt linkado; ogol se Transfermarkt nao trouxer tecnico/formacao; ESPN/arquivo local como fallback,Link conhecido; conferir/aplicar somente os campos listados em o_que_falta.
2008,36,2679,2008-11-22,Portuguesa,Goias,0-0,"tecnico_mandante, tecnico_visitante",,,4-4-2,4-4-2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/929585,"formacao_mandante, formacao_visitante",,,4-4-2,4-4-2,Transfermarkt linkado; ogol se Transfermarkt nao trouxer tecnico/formacao; ESPN/arquivo local como fallback,Link conhecido; conferir/aplicar somente os campos listados em o_que_falta.
2008,37,2689,2008-11-30,Portuguesa,Sport,2-2,"tecnico_mandante, tecnico_visitante",,,4-4-2,3-5-2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/930203,"formacao_mandante, formacao_visitante",,,4-4-2,3-5-2,Transfermarkt linkado; ogol se Transfermarkt nao trouxer tecnico/formacao; ESPN/arquivo local como fallback,Link conhecido; conferir/aplicar somente os campos listados em o_que_falta.
2008,38,2702,2008-12-07,Cruzeiro,Portuguesa,4-1,"tecnico_mandante, tecnico_visitante",,,4-4-2,4-4-2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/930213,"formacao_mandante, formacao_visitante",,,4-4-2,4-4-2,Transfermarkt linkado; ogol se Transfermarkt nao trouxer tecnico/formacao; ESPN/arquivo local como fallback,Link conhecido; conferir/aplicar somente os campos listados em o_que_falta.
2009,2,2720,2009-05-17,Santos,Goias,3-3,"formacao_mandante, formacao_visitante",Vagner Mancini,Hélio dos Anjos,,,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/939079,"tecnico_mandante, tecnico_visitante",Vagner Mancini,Hélio dos Anjos,,,Transfermarkt linkado; ogol se Transfermarkt nao trouxer tecnico/formacao; ESPN/arquivo local como fallback,Link conhecido; conferir/aplicar somente os campos listados em o_que_falta.
2009,12,2826,2009-07-19,Botafogo-RJ,Flamengo,2-2,"tecnico_mandante, tecnico_visitante, formacao_mandante, formacao_visitante",,,,,,,,,,,Transfermarkt buscar por jogo; ogol se Transfermarkt nao trouxer tecnico/formacao; ESPN/arquivo local como fallback,"Sem link direto auditado; procurar por temporada, rodada, times, placar e data do banco."
2009,15,2856,2009-07-30,Sao Paulo,Gremio,2-1,"formacao_mandante, formacao_visitante",Ricardo Gomes,Paulo Autuori,,,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/939217,"tecnico_mandante, tecnico_visitante",Ricardo Gomes,Paulo Autuori,,,Transfermarkt linkado; ogol se Transfermarkt nao trouxer tecnico/formacao; ESPN/arquivo local como fallback,Link conhecido; conferir/aplicar somente os campos listados em o_que_falta.
2009,16,2862,2009-08-02,Athletico-PR,Fluminense,1-0,"tecnico_mandante, tecnico_visitante",,,3-5-2,3-5-2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/939223,"formacao_mandante, formacao_visitante",,,3-5-2,3-5-2,Transfermarkt linkado; ogol se Transfermarkt nao trouxer tecnico/formacao; ESPN/arquivo local como fallback,Link conhecido; conferir/aplicar somente os campos listados em o_que_falta.
